中央频道,#genre#
CCTV1,http://111.160.27.70:35793/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0,6.08
CCTV1,http://175.18.189.238:9998/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,4.75
CCTV1,http://42.225.184.181:19901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0,3.23
CCTV1,http://60.209.125.254:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,3.05
CCTV1,http://222.174.239.62:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,3.04
CCTV1,http://218.58.136.82:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,2.88
CCTV1,http://183.215.134.239:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,2.77
CCTV1,http://218.13.14.6:60050/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0,2.7
CCTV1,http://59.39.89.130:60901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,2.27
CCTV1,http://220.202.110.48:9003/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,2.24
CCTV1,http://182.32.159.129:9933/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,2.07
CCTV1,http://39.164.180.36:19901/tsfile/live/0001_2.m3u8?key=txiptv&playlive=0&authid=0,1.97
CCTV1,http://124.94.156.159:8089/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&down=1,1.89
CCTV1,http://222.89.56.77:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0,1.81
CCTV1,http://60.214.104.110:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,1.63
CCTV1,http://112.99.195.122:65000/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0,1.63
CCTV1,http://60.172.130.146:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,1.52
CCTV1,http://222.173.108.238:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,1.52
CCTV1,http://58.19.38.162:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,1.3
CCTV1,http://113.218.229.47:8081/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,1.25
CCTV1,http://113.56.95.69:53765/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,1.21
CCTV1,http://113.56.95.69:53765udp://@228.0.0.167:7167,1.21
CCTV1,http://110.7.130.241:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,1.01
CCTV1,http://110.7.130.241:9901udp://@225.1.2.3:32144,1.01
CCTV1,http://182.91.124.224:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=0&authid=0,0.88
CCTV1,http://183.186.89.111:8899/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.79
CCTV1,http://39.150.96.141:65535/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.72
CCTV1,http://39.150.96.141:65535udp://@224.1.1.1:10001,0.72
CCTV1,http://120.198.95.220:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&down=1,0.71
CCTV1,http://122.137.77.73:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.47
CCTV1,http://118.250.39.0:10888/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0,0.45
CCTV1,http://182.37.169.94:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.44
CCTV1,http://61.133.10.250:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
CCTV1,http://183.162.252.133:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.34
CCTV1,http://218.29.168.146:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.34
CCTV1,http://58.213.65.146:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV1,http://60.8.49.38:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV1,http://116.131.190.210:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV1,http://222.134.19.31:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.28
CCTV1,http://58.220.211.90:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
CCTV1,http://60.212.2.115:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.2
